Area u^2;Convex Area u^2;Perimeter u;Convex Perimeter u;Length (Feret) u;Fiber Length u;Width u;Equivalent Diameter (ArEquivD) u;Inscribed Radius (MinR) u;Form Factor (Circ);Roundness;Convexity;Solidity;Compactness;Aspect Ratio;Elongation;Curl;L1;L2;Subtribe;;
281.493;316.106;82.178;72.332;29.954;31.503;12.233;18.932;4.709;0.524;0.399;0.88;0.891;0.632;2.449;2.575;0.951;1.4075;1.298895732;Agrostidinae;;
378.788;435.031;109.227;95.854;41.992;44.772;12.654;21.961;3.126;0.399;0.274;0.878;0.871;0.523;3.319;3.538;0.938;3.201;2.023992322;Agrostidinae;;
320.279;344.057;90.468;80.247;34.014;37.287;12.175;20.194;3.487;0.492;0.352;0.887;0.931;0.594;2.794;3.063;0.912;2.6005;1.745770003;Agrostidinae;;
328.203;361.991;84.31;75.995;30.071;32.795;13.686;20.442;4.651;0.58;0.462;0.901;0.907;0.68;2.197;2.396;0.917;2.192;1.471296495;Agrostidinae;;
278.364;323.455;96.524;85.74;38.392;41.051;9.671;18.826;3.214;0.375;0.24;0.888;0.861;0.49;3.97;4.245;0.935;1.6215;1.504511512;Agrostidinae;;
314.02;358.519;96.212;79.048;33.209;38.025;12.825;19.996;3.291;0.426;0.363;0.822;0.876;0.602;2.589;2.965;0.873;3.1215;1.948495898;Agrostidinae;;
306.269;348.921;93.261;78.587;33.196;37.377;12.448;19.747;2.989;0.442;0.354;0.843;0.878;0.595;2.667;3.003;0.888;3.235;2.082301773;Agrostidinae;;
378.501;456.623;103.771;89.29;35.246;40.797;14.829;21.953;4.965;0.442;0.388;0.86;0.829;0.623;2.377;2.751;0.864;2.4495;1.493353474;Agrostidinae;;
308.767;346.723;93.559;77.329;31.175;36.336;12.301;19.828;4.166;0.443;0.405;0.827;0.891;0.636;2.534;2.954;0.858;1.9845;1.476356217;Agrostidinae;;
390.272;444.749;100.614;84.887;33.123;37.188;15.115;22.291;5.041;0.484;0.453;0.844;0.878;0.673;2.191;2.46;0.891;2.5165;1.499206507;Agrostidinae;;
251.923;292.504;81.476;65.108;24.437;29.179;13.895;17.91;2.968;0.477;0.537;0.799;0.861;0.733;1.759;2.1;0.837;3.9795;2.340801887;Agrostidinae;;
396.53;462.478;111.127;90.389;37.366;43.087;14.442;22.469;4.45;0.404;0.362;0.813;0.857;0.601;2.587;2.983;0.867;2.771;1.622696629;Agrostidinae;;
364.635;413.137;98.598;83.919;35.184;39.923;13.84;21.547;4.44;0.471;0.375;0.851;0.883;0.612;2.542;2.885;0.881;2.48;1.558558559;Agrostidinae;;
385.851;436.962;107.549;89.968;36.669;42.249;13.223;22.165;4.008;0.419;0.365;0.837;0.883;0.604;2.773;3.195;0.868;2.6035;1.649575848;Agrostidinae;;
242.362;268.072;71.063;62.504;22.979;27.203;13.626;17.567;4.817;0.603;0.584;0.88;0.904;0.764;1.686;1.996;0.845;1.996;1.414365788;Agrostidinae;;
239.434;259.593;70.782;61.518;22.699;28.172;13.047;17.46;5.069;0.601;0.592;0.869;0.922;0.769;1.74;2.159;0.806;1.4545;1.286940225;Agrostidinae;;
306.298;339.25;83.54;70.223;26.986;32.369;14.892;19.748;4.768;0.552;0.536;0.841;0.903;0.732;1.812;2.174;0.834;2.678;1.561661074;Agrostidinae;;
233.778;260.945;78.203;64.768;25.625;32.076;11.926;17.253;4.086;0.48;0.453;0.828;0.896;0.673;2.149;2.69;0.799;1.877;1.45937347;Agrostidinae;;
295.13;335.558;85.087;71.545;27.96;31.323;14.294;19.385;3.163;0.512;0.481;0.841;0.88;0.693;1.956;2.191;0.893;3.984;2.259563705;Agrostidinae;;
396.329;457.878;101.939;87.328;36.076;38.4;14.635;22.464;3.517;0.479;0.388;0.857;0.866;0.623;2.465;2.624;0.939;3.8005;2.080608473;Agrostidinae;;
327.112;392.106;105.427;90.964;40.444;42.246;11.554;20.408;3.266;0.37;0.255;0.863;0.834;0.505;3.5;3.656;0.957;2.511;1.768830374;Agrostidinae;;
259.243;283.174;80.938;73.479;32.308;34.695;10.882;18.168;3.423;0.497;0.316;0.908;0.915;0.562;2.969;3.188;0.931;2.018;1.589541338;Agrostidinae;;
273.655;298.877;74.459;63.656;23.235;27.104;15.707;18.666;4.9;0.62;0.645;0.855;0.916;0.803;1.479;1.726;0.857;2.9535;1.602755102;Agrostidinae;;
327.743;366.216;90.393;78.323;33.253;35.852;13.635;20.428;3.348;0.504;0.377;0.866;0.895;0.614;2.439;2.629;0.928;3.4695;2.036290323;Agrostidinae;;
339.313;386.339;96.383;82.909;34.341;36.66;13.156;20.785;4.246;0.459;0.366;0.86;0.878;0.605;2.61;2.787;0.937;2.332;1.549222798;Agrostidinae;;
204.294;225.649;66.353;59.172;23.456;24.807;11.135;16.128;3.242;0.583;0.473;0.892;0.905;0.688;2.107;2.228;0.946;2.3255;1.717304133;Agrostidinae;;
255.655;303.444;84.789;66.784;25.849;31.544;14.311;18.042;3.502;0.447;0.487;0.788;0.843;0.698;1.806;2.204;0.819;3.6535;2.043260994;Agrostidinae;;
263.636;286.865;76.451;65.131;25.547;29.014;13.645;18.321;4.384;0.567;0.514;0.852;0.919;0.717;1.872;2.126;0.881;2.4385;1.55622719;Agrostidinae;;
230.276;255.763;70.799;60.842;23.536;26.935;13.295;17.123;4.42;0.577;0.529;0.859;0.9;0.728;1.77;2.026;0.874;2.2275;1.503959276;Agrostidinae;;
316.145;366.466;91.69;76.626;30.415;33.913;13.51;20.063;4.391;0.473;0.435;0.836;0.863;0.66;2.251;2.51;0.897;2.364;1.538373947;Agrostidinae;;
416.196;467.239;109.459;96.083;40.881;44.551;12.498;23.02;3.786;0.437;0.317;0.878;0.891;0.563;3.271;3.565;0.918;2.463;1.650554675;Agrostidinae;;
414.445;456.115;94.508;81.006;31.778;34.501;18.407;22.971;4.545;0.583;0.523;0.857;0.909;0.723;1.726;1.874;0.921;4.6585;2.024972497;Agrostidinae;;
306.097;355.779;101.258;89.882;39.175;42.76;10.331;19.742;3.19;0.375;0.254;0.888;0.86;0.504;3.792;4.139;0.916;1.9755;1.619278997;Agrostidinae;;
212.448;244.557;76.023;64.918;27.314;29.132;10.533;16.447;2.811;0.462;0.363;0.854;0.869;0.602;2.593;2.766;0.938;2.4555;1.873532551;Agrostidinae;;
297.8;342.22;87.566;75.852;29.697;34.496;13.126;19.472;3.894;0.488;0.43;0.866;0.87;0.656;2.262;2.628;0.861;2.669;1.685413457;Agrostidinae;;
441.46;542.849;125.045;109.423;47.47;53.497;12.82;23.708;4.185;0.355;0.249;0.875;0.813;0.499;3.703;4.173;0.887;2.225;1.531660693;Agrostidinae;;
413.641;471.796;100.963;86.769;34.59;38.301;16.154;22.949;6.062;0.51;0.44;0.859;0.877;0.663;2.141;2.371;0.903;2.015;1.332398548;Agrostidinae;;
394.722;470.039;106.228;84.662;34.28;38.746;16.739;22.418;4.552;0.44;0.428;0.797;0.84;0.654;2.048;2.315;0.885;3.8175;1.838642355;Agrostidinae;;
367.448;415.345;89.972;79.695;31.758;34.274;15.845;21.63;5.076;0.57;0.464;0.886;0.885;0.681;2.004;2.163;0.927;2.8465;1.560776202;Agrostidinae;;
491.73;577.682;136.399;107.366;46.731;54.804;13.952;25.022;4.073;0.332;0.287;0.787;0.851;0.535;3.349;3.928;0.853;2.903;1.71274245;Agrostidinae;;
